rider_id,rider_name,stage_id,stage,stage_points,cumulative_points
rider/adam-yates,YATES Adam,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/adne-holter,HOLTER Ådne,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/afonso-eulalio,EULÁLIO Afonso,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/alan-hatherly,HATHERLY Alan,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/alberto-bettiol,BETTIOL Alberto,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/alec-segaert,SEGAERT Alec,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/aleksandr-vlasov,VLASOV Aleksandr,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/alessandro-pinarello,PINARELLO Alessandro,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/alessandro-tonelli,TONELLI Alessandro,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/andrea-mifsud,MIFSUD Andrea,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/andrea-raccagni-noviero,RACCAGNI NOVIERO Andrea,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/andrea-vendrame,VENDRAME Andrea,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/andreas-leknessund,LEKNESSUND Andreas,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/antonio-morgado,MORGADO António,race/giro-d-italia/2026/stage-1,1,1.0,1.0
rider/arjen-livyns,LIVYNS Arjen,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/arnaud-de-lie,DE LIE Arnaud,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/axel-huens,HUENS Axel,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/ayco-bastiaens,BASTIAENS Ayco,race/giro-d-italia/2026/stage-1,1,1.0,1.0
rider/bart-lemmen,LEMMEN Bart,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/ben-o-connor,O'CONNOR Ben,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/ben-turner,TURNER Ben,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/ben-zwiehoff,ZWIEHOFF Ben,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/brieuc-rolland,ROLLAND Brieuc,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/callum-scotson,SCOTSON Callum,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/casper-van-uden,VAN UDEN Casper,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/chris-hamilton,HAMILTON Chris,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/chris-harper,HARPER Chris,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/christian-scaroni,SCARONI Christian,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/christopher-juul-jensen,JUUL-JENSEN Christopher,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/connor-swift,SWIFT Connor,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/corbin-strong,STRONG Corbin,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/cyril-barthe,BARTHE Cyril,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/damiano-caruso,CARUSO Damiano,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/darren-rafferty,RAFFERTY Darren,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/david-de-la-cruz,DE LA CRUZ David,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/david-gonzalez-lopez,GONZÁLEZ David,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/davide-ballerini,BALLERINI Davide,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/davide-piganzoli,PIGANZOLI Davide,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/derek-gee,GEE-WEST Derek,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/diego-pablo-sevilla,SEVILLA Diego Pablo,race/giro-d-italia/2026/stage-1,1,3.0,3.0
rider/diego-ulissi,ULISSI Diego,race/giro-d-italia/2026/stage-1,1,0.0,0.0
