rider_id,rider_name,stage_id,stage,stage_points,cumulative_points
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-5,5,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-6,6,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-7,7,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-8,8,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-9,9,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-10,10,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-11,11,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-12,12,0,0
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-13,13,2,2
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-14,14,0,2
rider/abel-balderstone-roumens,BALDERSTONE Abel,race/vuelta-a-espana/2025/stage-15,15,0,2
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-5,5,1,1
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-6,6,0,1
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-7,7,0,1
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-8,8,0,1
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-9,9,0,1
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-10,10,0,1
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-11,11,0,1
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-12,12,0,1
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-13,13,0,1
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-14,14,0,1
rider/alec-segaert,SEGAERT Alec,race/vuelta-a-espana/2025/stage-15,15,2,3
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-1,1,3,3
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-2,2,2,5
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-3,3,3,8
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-4,4,1,9
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-5,5,1,10
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-6,6,0,10
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-7,7,0,10
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-8,8,0,10
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-9,9,0,10
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-10,10,0,10
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-11,11,0,10
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-12,12,0,10
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-13,13,0,10
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-14,14,0,10
rider/alessandro-verre,VERRE Alessandro,race/vuelta-a-espana/2025/stage-15,15,0,10
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-5,5,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-6,6,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-7,7,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-8,8,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-9,9,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-10,10,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-11,11,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-12,12,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-13,13,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-14,14,0,0
rider/alex-molenaar,MOLENAAR Alex,race/vuelta-a-espana/2025/stage-15,15,0,0
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-5,5,10,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-6,6,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-7,7,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-8,8,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-9,9,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-10,10,0,10
rider/amanuel-ghebreigzabhier,GHEBREIGZABHIER Amanuel,race/vuelta-a-espana/2025/stage-11,11,0,10
