stage,stage_id,stage_name,stage_type
1,race/giro-d-italia/2023/stage-1,Stage 1 (ITT) | Fossacesia Marina - Ortona, Flat
2,race/giro-d-italia/2023/stage-2,Stage 2 | Teramo - San Salvo,"Hills, flat finish"
3,race/giro-d-italia/2023/stage-3,Stage 3 | Vasto - Melfi,"Hills, flat finish"
4,race/giro-d-italia/2023/stage-4,Stage 4 | Venosa - Lago Laceno,"Mountains, flat finish"
5,race/giro-d-italia/2023/stage-5,Stage 5 | Atripalda  - Salerno,"Hills, flat finish"
6,race/giro-d-italia/2023/stage-6,Stage 6 | Napoli - Napoli,"Hills, flat finish"
7,race/giro-d-italia/2023/stage-7,Stage 7 | Capua - Gran Sasso d'Italia (Campo Imperatore),"Mountains, uphill finish"
8,race/giro-d-italia/2023/stage-8,Stage 8 | Terni - Fossombrone,"Hills, flat finish"
9,race/giro-d-italia/2023/stage-9,Stage 9 (ITT) | Savignano sul Rubicone - Cesena, Flat
10,race/giro-d-italia/2023/stage-10,Stage 10 | Scandiano - Viareggio,"Hills, flat finish"
11,race/giro-d-italia/2023/stage-11,Stage 11 | Camaiore - Tortona,"Hills, flat finish"
12,race/giro-d-italia/2023/stage-12,Stage 12 | Bra - Rivoli,"Hills, flat finish"
13,race/giro-d-italia/2023/stage-13,Stage 13 | Le Châble - Crans-Montana,"Mountains, uphill finish"
14,race/giro-d-italia/2023/stage-14,Stage 14 | Sierre - Cassano Magnago,"Hills, flat finish"
15,race/giro-d-italia/2023/stage-15,Stage 15 | Seregno - Bergamo,"Mountains, flat finish"
16,race/giro-d-italia/2023/stage-16,Stage 16 | Sabbio Chiese - Monte Bondone,"Mountains, uphill finish"
17,race/giro-d-italia/2023/stage-17,Stage 17 | Pergine Valsugana - Caorle, Flat
18,race/giro-d-italia/2023/stage-18,Stage 18 | Oderzo - Val di Zoldo (Palafavera),"Mountains, uphill finish"
19,race/giro-d-italia/2023/stage-19,Stage 19 | Longarone - Tre Cime di Lavaredo,"Mountains, uphill finish"
20,race/giro-d-italia/2023/stage-20,Stage 20 (ITT) | Tarvisio - Monte Lussari,"Mountains, uphill finish"
21,race/giro-d-italia/2023/stage-21,Stage 21 | Roma - Roma, Flat
