stage,stage_id,stage_name,stage_type
1,race/vuelta-a-espana/2023/stage-1,Stage 1 (TTT) | Barcelona - Barcelona, Flat
2,race/vuelta-a-espana/2023/stage-2,Stage 2 | Mataró - Barcelona,"Hills, flat finish"
3,race/vuelta-a-espana/2023/stage-3,Stage 3 | Súria - Arinsal,"Mountains, uphill finish"
4,race/vuelta-a-espana/2023/stage-4,Stage 4 | Andorra la Vella - Tarragona,"Hills, flat finish"
5,race/vuelta-a-espana/2023/stage-5,Stage 5 | Morella - Burriana,"Hills, flat finish"
6,race/vuelta-a-espana/2023/stage-6,Stage 6 | La Vall d'Uixó  - Observatorio Astrofísico de Javalambre,"Mountains, uphill finish"
7,race/vuelta-a-espana/2023/stage-7,Stage 7 | Utiel - Oliva, Flat
8,race/vuelta-a-espana/2023/stage-8,Stage 8 | Dénia - Xorret de Catí. Costa Blanca Interior,"Mountains, flat finish"
9,race/vuelta-a-espana/2023/stage-9,Stage 9 | Cartagena - Collado de la Cruz de Caravaca,"Mountains, uphill finish"
10,race/vuelta-a-espana/2023/stage-10,Stage 10 (ITT) | Valladolid - Valladolid, Flat
11,race/vuelta-a-espana/2023/stage-11,Stage 11 | Lerma - La Laguna Negra.Vinuesa,"Hills, uphill finish"
12,race/vuelta-a-espana/2023/stage-12,Stage 12 | Ólvega - Zaragoza, Flat
13,race/vuelta-a-espana/2023/stage-13,Stage 13 | Formigal. Huesca la Magia  - Col du Tourmalet,"Mountains, uphill finish"
14,race/vuelta-a-espana/2023/stage-14,Stage 14 | Sauveterre-de-Béarn - Larra-Belagua,"Mountains, uphill finish"
15,race/vuelta-a-espana/2023/stage-15,Stage 15 | Pamplona - Lekunberri,"Hills, flat finish"
16,race/vuelta-a-espana/2023/stage-16,Stage 16 | Liencres Playa - Bejes,"Hills, uphill finish"
17,race/vuelta-a-espana/2023/stage-17,Stage 17 | Ribadesella/Ribeseya - Altu de L'Angliru,"Mountains, uphill finish"
18,race/vuelta-a-espana/2023/stage-18,Stage 18 | Pola de Allande - La Cruz de Linares,"Mountains, uphill finish"
19,race/vuelta-a-espana/2023/stage-19,Stage 19 | La Bañeza - Íscar, Flat
20,race/vuelta-a-espana/2023/stage-20,Stage 20 | Manzanares El Real - Guadarrama,"Hills, flat finish"
21,race/vuelta-a-espana/2023/stage-21,Stage 21 | Hipódromo de la Zarzuela - Madrid. Paisaje de la Luz, Flat
