event_id,event_date,team_name,team_id,rider_name,rider_id,pcs_rank,event_rank,uci_points,pcs_points_season,pcs_gc_points,pcs_points_last_60d
tour-de-france,2023-07-01,Jumbo-Visma (WT),team/team-jumbo-visma-2023,VINGEGAARD Jonas,rider/jonas-vingegaard,4,3,5869.07,1220,1550,424
tour-de-france,2023-07-01,Jumbo-Visma (WT),team/team-jumbo-visma-2023,BENOOT Tiesj,rider/tiesj-benoot,76,43,1773,482,100,11
tour-de-france,2023-07-01,Jumbo-Visma (WT),team/team-jumbo-visma-2023,KELDERMAN Wilco,rider/wilco-kelderman,145,76,560.5,177,305,163
tour-de-france,2023-07-01,Jumbo-Visma (WT),team/team-jumbo-visma-2023,KUSS Sepp,rider/sepp-kuss,94,52,2355.5,317,834,158
tour-de-france,2023-07-01,Jumbo-Visma (WT),team/team-jumbo-visma-2023,LAPORTE Christophe,rider/christophe-laporte,10,8,2281,852,30,118
tour-de-france,2023-07-01,Jumbo-Visma (WT),team/team-jumbo-visma-2023,VAN AERT Wout,rider/wout-van-aert,3,2,4747,912,160,104
tour-de-france,2023-07-01,Jumbo-Visma (WT),team/team-jumbo-visma-2023,VAN BAARLE Dylan,rider/dylan-van-baarle,150,79,538.5,245,50,20
tour-de-france,2023-07-01,Jumbo-Visma (WT),team/team-jumbo-visma-2023,VAN HOOYDONCK Nathan,rider/nathan-van-hooydonck,212,102,452.57,263,35,5
tour-de-france,2023-07-01,UAE Team Emirates (WT),team/uae-team-emirates-2023,POGAČAR Tadej,rider/tadej-pogacar,1,1,7635.86,1754,780,80
tour-de-france,2023-07-01,UAE Team Emirates (WT),team/uae-team-emirates-2023,BJERG Mikkel,rider/mikkel-bjerg,189,92,691.29,249,100,57
tour-de-france,2023-07-01,UAE Team Emirates (WT),team/uae-team-emirates-2023,GROßSCHARTNER Felix,rider/felix-grossschartner,281,121,867.86,133,389,25
tour-de-france,2023-07-01,UAE Team Emirates (WT),team/uae-team-emirates-2023,LAENGEN Vegard Stake,rider/vegard-stake-laengen,840,172,20.43,25,40,5
tour-de-france,2023-07-01,UAE Team Emirates (WT),team/uae-team-emirates-2023,MAJKA Rafał,rider/rafal-majka,294,124,589,173,419,49
tour-de-france,2023-07-01,UAE Team Emirates (WT),team/uae-team-emirates-2023,SOLER Marc,rider/marc-soler,109,62,701.05,217,308,0
tour-de-france,2023-07-01,UAE Team Emirates (WT),team/uae-team-emirates-2023,TRENTIN Matteo,rider/matteo-trentin,54,34,912.86,261,115,67
tour-de-france,2023-07-01,UAE Team Emirates (WT),team/uae-team-emirates-2023,YATES Adam,rider/adam-yates,9,7,3897.86,992,1097,351
tour-de-france,2023-07-01,INEOS Grenadiers (WT),team/ineos-grenadiers-2023,BERNAL Egan,rider/egan-bernal,288,123,348,217,245,107
tour-de-france,2023-07-01,INEOS Grenadiers (WT),team/ineos-grenadiers-2023,CASTROVIEJO Jonathan,rider/jonathan-castroviejo,266,115,436,136,272,39
tour-de-france,2023-07-01,INEOS Grenadiers (WT),team/ineos-grenadiers-2023,FRAILE Omar,rider/omar-fraile,323,132,70.29,50,55,5
tour-de-france,2023-07-01,INEOS Grenadiers (WT),team/ineos-grenadiers-2023,KWIATKOWSKI Michał,rider/michal-kwiatkowski,663,163,772.33,63,256,21
tour-de-france,2023-07-01,INEOS Grenadiers (WT),team/ineos-grenadiers-2023,MARTÍNEZ Daniel Felipe,rider/daniel-felipe-martinez,104,59,416.29,206,181,16
tour-de-france,2023-07-01,INEOS Grenadiers (WT),team/ineos-grenadiers-2023,PIDCOCK Thomas,rider/thomas-pidcock,16,12,2034,779,241,16
tour-de-france,2023-07-01,INEOS Grenadiers (WT),team/ineos-grenadiers-2023,RODRÍGUEZ Carlos,rider/carlos-rodriguez-cano,46,28,1618,234,520,85
tour-de-france,2023-07-01,INEOS Grenadiers (WT),team/ineos-grenadiers-2023,TURNER Ben,rider/ben-turner,245,110,244,147,5,0
tour-de-france,2023-07-01,Groupama - FDJ (WT),team/groupama-fdj-2023,GAUDU David,rider/david-gaudu,18,14,1597.57,628,565,15
tour-de-france,2023-07-01,Groupama - FDJ (WT),team/groupama-fdj-2023,GENIETS Kevin,rider/kevin-geniets,225,103,238.57,133,81,6
tour-de-france,2023-07-01,Groupama - FDJ (WT),team/groupama-fdj-2023,KÜNG Stefan,rider/stefan-kung,26,18,2045.57,495,170,95
tour-de-france,2023-07-01,Groupama - FDJ (WT),team/groupama-fdj-2023,LE GAC Olivier,rider/olivier-le-gac,532,156,150,65,40,12
tour-de-france,2023-07-01,Groupama - FDJ (WT),team/groupama-fdj-2023,MADOUAS Valentin,rider/valentin-madouas,29,20,2024,465,130,20
tour-de-france,2023-07-01,Groupama - FDJ (WT),team/groupama-fdj-2023,PACHER Quentin,rider/quentin-pacher,243,109,169,53,40,5
tour-de-france,2023-07-01,Groupama - FDJ (WT),team/groupama-fdj-2023,PINOT Thibaut,rider/thibaut-pinot,17,13,2207,869,611,461
tour-de-france,2023-07-01,Groupama - FDJ (WT),team/groupama-fdj-2023,VAN DEN BERG Lars,rider/lars-van-den-berg,779,169,32,37,30,22
tour-de-france,2023-07-01,EF Education - EasyPost (WT),team/ef-education-easypost-2023,CARAPAZ Richard,rider/richard-carapaz,73,42,1014,157,12,110
tour-de-france,2023-07-01,EF Education - EasyPost (WT),team/ef-education-easypost-2023,AMADOR Andrey,rider/andrey-amador,746,167,24.57,51,59,5
tour-de-france,2023-07-01,EF Education - EasyPost (WT),team/ef-education-easypost-2023,BETTIOL Alberto,rider/alberto-bettiol,84,48,595.67,184,50,67
tour-de-france,2023-07-01,EF Education - EasyPost (WT),team/ef-education-easypost-2023,CHAVES Esteban,rider/johan-esteban-chaves,153,80,386,192,136,6
tour-de-france,2023-07-01,EF Education - EasyPost (WT),team/ef-education-easypost-2023,CORT Magnus,rider/magnus-cort-nielsen,65,37,651.71,347,190,135
tour-de-france,2023-07-01,EF Education - EasyPost (WT),team/ef-education-easypost-2023,POWLESS Neilson,rider/neilson-powless,15,11,2042.71,723,305,21
tour-de-france,2023-07-01,EF Education - EasyPost (WT),team/ef-education-easypost-2023,SHAW James,rider/james-shaw,280,120,255,112,82,12
tour-de-france,2023-07-01,EF Education - EasyPost (WT),team/ef-education-easypost-2023,URÁN Rigoberto,rider/rigoberto-uran,53,33,378,245,257,126
tour-de-france,2023-07-01,Soudal Quick-Step (WT),team/soudal-quick-step-2023,ALAPHILIPPE Julian,rider/julian-alaphilippe,113,63,938,408,110,152
tour-de-france,2023-07-01,Soudal Quick-Step (WT),team/soudal-quick-step-2023,ASGREEN Kasper,rider/kasper-asgreen,250,111,950.67,246,169,151
tour-de-france,2023-07-01,Soudal Quick-Step (WT),team/soudal-quick-step-2023,CAVAGNA Rémi,rider/remi-cavagna,117,65,703.33,227,169,38
tour-de-france,2023-07-01,Soudal Quick-Step (WT),team/soudal-quick-step-2023,DECLERCQ Tim,rider/tim-declercq,689,165,40.67,32,44,12
tour-de-france,2023-07-01,Soudal Quick-Step (WT),team/soudal-quick-step-2023,DEVENYNS Dries,rider/dries-devenyns,603,161,10,30,40,0
tour-de-france,2023-07-01,Soudal Quick-Step (WT),team/soudal-quick-step-2023,JAKOBSEN Fabio,rider/fabio-jakobsen,51,32,678,375,5,150
tour-de-france,2023-07-01,Soudal Quick-Step (WT),team/soudal-quick-step-2023,LAMPAERT Yves,rider/yves-lampaert,79,44,1105.67,353,280,149
tour-de-france,2023-07-01,Soudal Quick-Step (WT),team/soudal-quick-step-2023,MØRKØV Michael,rider/michael-morkov,585,159,50,34,25,16
tour-de-france,2023-07-01,Bahrain - Victorious (WT),team/bahrain-victorious-2023,LANDA Mikel,rider/mikel-landa,21,15,2215.62,786,846,22
tour-de-france,2023-07-01,Bahrain - Victorious (WT),team/bahrain-victorious-2023,ARNDT Nikias,rider/nikias-arndt,299,125,192.14,131,45,0
tour-de-france,2023-07-01,Bahrain - Victorious (WT),team/bahrain-victorious-2023,BAUHAUS Phil,rider/phil-bauhaus,171,87,632.14,192,15,55
tour-de-france,2023-07-01,Bahrain - Victorious (WT),team/bahrain-victorious-2023,BILBAO Pello,rider/pello-bilbao,27,19,2432.14,625,676,72
tour-de-france,2023-07-01,Bahrain - Victorious (WT),team/bahrain-victorious-2023,HAIG Jack,rider/jack-haig,137,72,674.71,431,451,211
tour-de-france,2023-07-01,Bahrain - Victorious (WT),team/bahrain-victorious-2023,MOHORIČ Matej,rider/matej-mohoric,56,35,2190,462,485,150
tour-de-france,2023-07-01,Bahrain - Victorious (WT),team/bahrain-victorious-2023,POELS Wout,rider/wout-poels,278,119,1038.47,206,334,47
tour-de-france,2023-07-01,Bahrain - Victorious (WT),team/bahrain-victorious-2023,WRIGHT Fred,rider/alfred-wright,87,49,455.71,169,35,47
tour-de-france,2023-07-01,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,HINDLEY Jai,rider/jai-hindley,48,29,1652,490,574,197
tour-de-france,2023-07-01,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,BUCHMANN Emanuel,rider/emanuel-buchmann,236,107,490.98,185,321,39
tour-de-france,2023-07-01,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,HALLER Marco,rider/marco-haller,168,86,199.14,111,40,37
tour-de-france,2023-07-01,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,JUNGELS Bob,rider/bob-jungels,141,75,135.14,67,119,20
tour-de-france,2023-07-01,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,KONRAD Patrick,rider/patrick-konrad,68,39,657,363,104,79
tour-de-france,2023-07-01,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,MEEUS Jordi,rider/jordi-meeus,50,31,1204,460,40,226
tour-de-france,2023-07-01,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,POLITT Nils,rider/nils-politt,195,95,636.14,249,125,38
tour-de-france,2023-07-01,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,VAN POPPEL Danny,rider/danny-van-poppel,98,54,1028,193,161,88
tour-de-france,2023-07-01,Lidl - Trek (WT),team/lidl-trek-2023,CICCONE Giulio,rider/giulio-ciccone,42,26,1597,742,434,123
tour-de-france,2023-07-01,Lidl - Trek (WT),team/lidl-trek-2023,GALLOPIN Tony,rider/tony-gallopin,405,146,251,80,45,9
tour-de-france,2023-07-01,Lidl - Trek (WT),team/lidl-trek-2023,SKJELMOSE Mattias,rider/mattias-skjelmose-jensen,8,6,2855.14,1046,545,413
tour-de-france,2023-07-01,Lidl - Trek (WT),team/lidl-trek-2023,KIRSCH Alex,rider/alex-kirsch,348,139,379.14,139,51,110
tour-de-france,2023-07-01,Lidl - Trek (WT),team/lidl-trek-2023,LÓPEZ Juan Pedro,rider/juan-pedro-lopez,680,164,142,41,141,5
tour-de-france,2023-07-01,Lidl - Trek (WT),team/lidl-trek-2023,PEDERSEN Mads,rider/mads-pedersen,7,5,4596.14,895,175,219
tour-de-france,2023-07-01,Lidl - Trek (WT),team/lidl-trek-2023,SIMMONS Quinn,rider/quinn-simmons,259,113,293,175,50,15
