event_id,event_date,team_name,team_id,rider_name,rider_id,pcs_rank,event_rank,uci_points,pcs_points_season,pcs_gc_points_season,pcs_points_last_60d,pcs_gc_points
vuelta-a-espana,2023-08-26,Soudal Quick-Step (WT),team/soudal-quick-step-2023,EVENEPOEL Remco,rider/remco-evenepoel,2,1,5477.71,2075,790,511,2882.5
vuelta-a-espana,2023-08-26,Soudal Quick-Step (WT),team/soudal-quick-step-2023,BAGIOLI Andrea,rider/andrea-bagioli,96,27,1680,377,42,139,224.5
vuelta-a-espana,2023-08-26,Soudal Quick-Step (WT),team/soudal-quick-step-2023,CATTANEO Mattia,rider/mattia-cattaneo,219,64,591,306,176,259,670.25
vuelta-a-espana,2023-08-26,Soudal Quick-Step (WT),team/soudal-quick-step-2023,HIRT Jan,rider/jan-hirt,945,162,46,50,54,21,772.5
vuelta-a-espana,2023-08-26,Soudal Quick-Step (WT),team/soudal-quick-step-2023,KNOX James,rider/james-knox,285,79,226,166,120,16,492
vuelta-a-espana,2023-08-26,Soudal Quick-Step (WT),team/soudal-quick-step-2023,PEDERSEN Casper,rider/casper-pedersen,250,71,349,264,120,18,219.25
vuelta-a-espana,2023-08-26,Soudal Quick-Step (WT),team/soudal-quick-step-2023,SERRY Pieter,rider/pieter-serry,539,116,37.71,76,45,16,132.5
vuelta-a-espana,2023-08-26,Soudal Quick-Step (WT),team/soudal-quick-step-2023,VERVAEKE Louis,rider/louis-vervaeke,355,91,165.71,138,57,48,216.75
vuelta-a-espana,2023-08-26,UAE Team Emirates (WT),team/uae-team-emirates-2023,AYUSO Juan,rider/juan-ayuso-pesquera,38,8,1958.62,513,446,78,1973
vuelta-a-espana,2023-08-26,UAE Team Emirates (WT),team/uae-team-emirates-2023,ALMEIDA João,rider/joao-almeida,12,4,3110.62,1249,1000,280,3951.5
vuelta-a-espana,2023-08-26,UAE Team Emirates (WT),team/uae-team-emirates-2023,OLIVEIRA Rui,rider/rui-oliveira,428,104,310.48,119,25,0,108.75
vuelta-a-espana,2023-08-26,UAE Team Emirates (WT),team/uae-team-emirates-2023,FISHER-BLACK Finn,rider/finn-fisher-black,445,106,312.62,123,89,28,705
vuelta-a-espana,2023-08-26,UAE Team Emirates (WT),team/uae-team-emirates-2023,MOLANO Juan Sebastián,rider/juan-sebastian-molano,95,26,972.48,363,35,33,103.75
vuelta-a-espana,2023-08-26,UAE Team Emirates (WT),team/uae-team-emirates-2023,NOVAK Domen,rider/domen-novak,975,164,43.91,32,47,8,202.75
vuelta-a-espana,2023-08-26,UAE Team Emirates (WT),team/uae-team-emirates-2023,SOLER Marc,rider/marc-soler,112,34,701.05,242,308,25,1110.5
vuelta-a-espana,2023-08-26,UAE Team Emirates (WT),team/uae-team-emirates-2023,VINE Jay,rider/jay-vine,59,14,897.48,471,320,70,856
vuelta-a-espana,2023-08-26,Jumbo-Visma (WT),team/team-jumbo-visma-2023,ROGLIČ Primož,rider/primoz-roglic,8,3,5505.36,1690,1290,225,3807.5
vuelta-a-espana,2023-08-26,Jumbo-Visma (WT),team/team-jumbo-visma-2023,GESINK Robert,rider/robert-gesink,424,102,28.36,25,30,15,142.5
vuelta-a-espana,2023-08-26,Jumbo-Visma (WT),team/team-jumbo-visma-2023,KELDERMAN Wilco,rider/wilco-kelderman,118,36,560.5,307,305,132,1550.5
vuelta-a-espana,2023-08-26,Jumbo-Visma (WT),team/team-jumbo-visma-2023,KUSS Sepp,rider/sepp-kuss,77,23,2355.5,545,834,228,1878
vuelta-a-espana,2023-08-26,Jumbo-Visma (WT),team/team-jumbo-visma-2023,TRATNIK Jan,rider/jan-tratnik,431,105,141.93,77,37,27,282
vuelta-a-espana,2023-08-26,Jumbo-Visma (WT),team/team-jumbo-visma-2023,VALTER Attila,rider/attila-valter,138,43,789.36,390,241,17,758.5
vuelta-a-espana,2023-08-26,Jumbo-Visma (WT),team/team-jumbo-visma-2023,VAN BAARLE Dylan,rider/dylan-van-baarle,149,46,538.5,330,50,85,273.5
vuelta-a-espana,2023-08-26,Jumbo-Visma (WT),team/team-jumbo-visma-2023,VINGEGAARD Jonas,rider/jonas-vingegaard,4,2,5869.07,2114,1550,908,4412.5
vuelta-a-espana,2023-08-26,INEOS Grenadiers (WT),team/ineos-grenadiers-2023,THOMAS Geraint,rider/geraint-thomas,75,22,1703,604,345,73,1553.75
