event_id,event_date,team_name,team_id,rider_name,rider_id,pcs_rank,event_rank,uci_points,pcs_points_season,pcs_points_last_60d,pcs_gc_points,pcs_gc_points_season,pcs_sprint_points,pcs_sprint_points_season,pcs_rank_w,event_rank_w,uci_points_w,pcs_points_season_w,pcs_gc_points_season_w,pcs_points_last_60d_w,pcs_gc_points_w,pcs_sprint_points_w,pcs_sprint_points_season_w,gc_score,classic_score,sprinter_score,combined_score,rank,tier,fav_points
giro-d-italia,2025-05-09,Lidl - Trek (WT),team/lidl-trek-2025,PEDERSEN Mads,rider/mads-pedersen,8.0,2.0,2774.57,1175.0,1051.0,599.0,264.0,1531.0,559.0,8.0,2.0,1768.0,873.0,264.0,637.0,599.0,1331.5,421.0,6.870006604714538,19.28000422498546,22.930586402352468,13.805121850323399,1.0,1.0,6.0
giro-d-italia,2025-05-09,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,AYUSO Juan,rider/juan-ayuso-pesquera,27.0,8.0,1436.0,873.0,601.0,1375.5,510.0,1.5,1.0,27.0,8.0,1436.0,873.0,510.0,601.0,1375.5,1.5,1.0,11.821295867747464,18.1205547911886,2.489419998327533,11.844698370895818,2.0,1.0,6.0
giro-d-italia,2025-05-09,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,ROGLIČ Primož,rider/primoz-roglic,5.0,1.0,582.0,431.0,381.0,1970.0,950.0,0.0,0.0,8.0,2.0,582.0,431.0,831.0,381.0,1891.5,0.0,0.0,15.60983137948174,9.559502518251474,1.0850723125762534,10.889780907731561,3.0,1.0,6.0
giro-d-italia,2025-05-09,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,VAN AERT Wout,rider/wout-van-aert,9.0,3.0,1768.0,697.0,637.0,235.0,25.0,799.5,387.0,9.0,3.0,1768.0,697.0,25.0,637.0,235.0,799.5,387.0,3.1048686124373193,17.614495243833282,17.755177543352133,10.387818388039072,4.0,2.0,3.0
giro-d-italia,2025-05-09,Q36.5 Pro Cycling Team (PRT),team/q365-pro-cycing-team-2025,PIDCOCK Thomas,rider/thomas-pidcock,21.0,6.0,1531.0,862.0,439.0,807.0,410.0,73.75,27.0,21.0,6.0,1531.0,862.0,410.0,439.0,807.0,73.75,27.0,8.631243696759269,15.975238588506715,3.822524780331257,9.8726983809979,5.0,2.0,3.0
giro-d-italia,2025-05-09,Lidl - Trek (WT),team/lidl-trek-2025,CICCONE Giulio,rider/giulio-ciccone,20.0,5.0,1166.0,628.0,398.0,881.75,600.0,30.0,30.0,20.0,5.0,1166.0,628.0,600.0,398.0,881.75,30.0,30.0,10.065988670639848,12.59562642707628,2.9020719746107333,9.392096658364954,6.0,2.0,3.0
giro-d-italia,2025-05-09,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,YATES Adam,rider/adam-yates,14.0,4.0,372.0,279.0,92.0,1891.5,831.0,75.0,50.0,14.0,4.0,372.0,279.0,831.0,92.0,1891.5,75.0,50.0,15.2192195699335,3.752601163218957,2.3493251663009747,9.205255167192632,7.0,2.0,3.0
giro-d-italia,2025-05-09,Soudal Quick-Step (WT),team/soudal-quick-step-2025,LANDA Mikel,rider/mikel-landa,26.0,7.0,497.0,322.0,284.0,1621.5,760.0,0.0,0.0,26.0,7.0,497.0,322.0,760.0,284.0,1621.5,0.0,0.0,13.561900158815792,6.968865605509954,0.8573156813158092,9.043072897324043,8.0,2.0,3.0
giro-d-italia,2025-05-09,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,STORER Michael,rider/michael-storer,34.0,11.0,720.0,501.0,401.0,930.0,586.0,32.25,22.0,34.0,11.0,720.0,501.0,586.0,401.0,930.0,32.25,22.0,9.30061050889385,10.594874967966987,1.9084203219699398,8.21045180923101,9.0,2.0,3.0
giro-d-italia,2025-05-09,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,ARENSMAN Thymen,rider/thymen-arensman,61.0,21.0,626.29,416.0,311.0,1093.25,562.0,0.0,0.0,61.0,21.0,626.29,416.0,562.0,311.0,1093.25,0.0,0.0,9.486705347842232,8.246921200112313,0.879349487522205,7.393298931459251,10.0,2.0,3.0
giro-d-italia,2025-05-09,Israel - Premier Tech (PRT),team/israel-premier-tech-2025,GEE Derek,rider/derek-gee,28.0,9.0,599.0,406.0,274.0,760.0,700.0,2.5,0.0,28.0,9.0,599.0,406.0,700.0,274.0,760.0,2.5,0.0,9.417364380237863,7.772581384813317,1.0305233720610936,7.246561279975145,11.0,3.0,1.0
giro-d-italia,2025-05-09,Bahrain - Victorious (WT),team/bahrain-victorious-2025,BILBAO Pello,rider/pello-bilbao,44.0,16.0,720.0,492.0,113.0,1355.0,450.0,46.5,18.0,44.0,16.0,720.0,492.0,450.0,113.0,1355.0,46.5,18.0,9.85143838135523,6.469910681072222,1.8795888752686722,7.242610170053016,12.0,3.0,1.0
giro-d-italia,2025-05-09,XDS Astana Team (WT),team/xds-astana-team-2025,FORTUNATO Lorenzo,rider/lorenzo-fortunato,45.0,17.0,734.0,427.0,284.0,866.5,531.0,30.0,30.0,45.0,17.0,734.0,427.0,531.0,284.0,866.5,30.0,30.0,8.47122131729786,8.231161475852012,1.9997291083259432,7.104904923069722,13.0,3.0,1.0
giro-d-italia,2025-05-09,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,KOOIJ Olav,rider/olav-kooij,33.0,10.0,505.0,306.0,161.0,276.25,10.0,1331.5,421.0,33.0,10.0,505.0,306.0,10.0,161.0,276.25,1331.5,421.0,0.86998720379788,5.093197101934283,20.640765345090582,6.091105801497342,14.0,3.0,1.0
giro-d-italia,2025-05-09,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,HINDLEY Jai,rider/jai-hindley,101.0,35.0,365.71,264.0,212.0,1266.0,355.0,0.0,0.0,101.0,35.0,365.71,264.0,355.0,212.0,1266.0,0.0,0.0,7.704865885547145,4.796026251610529,0.2230711145335864,5.335855041163448,15.0,3.0,1.0
giro-d-italia,2025-05-09,Cofidis (WT),team/cofidis-2025,FRETIN Milan,rider/milan-fretin,40.0,13.0,733.0,447.0,206.0,79.25,65.0,488.5,391.0,40.0,13.0,733.0,447.0,65.0,206.0,79.25,488.5,391.0,0.8600997241390826,7.388514170037542,13.296583986012298,5.305920910283263,0.0,0.0,0.0
giro-d-italia,2025-05-09,Bahrain - Victorious (WT),team/bahrain-victorious-2025,TIBERI Antonio,rider/antonio-tiberi,57.0,19.0,400.0,215.0,187.0,840.75,526.0,1.5,0.0,57.0,19.0,400.0,215.0,526.0,187.0,840.75,1.5,0.0,7.698798486867423,4.285323403349751,0.530451403239087,5.241086545086453,0.0,0.0,0.0
