event_id,event_date,team_name,team_id,rider_name,rider_id,pcs_rank,event_rank,uci_points,pcs_points_season,pcs_points_last_60d,pcs_gc_points,pcs_gc_points_season,pcs_sprint_points,pcs_sprint_points_season,pcs_rank_w,event_rank_w,uci_points_w,pcs_points_season_w,pcs_gc_points_season_w,pcs_points_last_60d_w,pcs_gc_points_w,pcs_sprint_points_w,pcs_sprint_points_season_w,gc_score,classic_score,sprinter_score,combined_score,rank,tier,fav_points
vuelta-a-espana,2023-08-26,Jumbo-Visma (WT),team/team-jumbo-visma-2023,VINGEGAARD Jonas,rider/jonas-vingegaard,4.0,2.0,4124.07,2114.0,908.0,2422.5,1330.0,23.0,20.0,4.0,2.0,3732.71,2075.0,1060.0,511.0,2327.5,23.0,20.0,19.13083682717503,21.919864011508487,4.309952719750789,17.003368160990217,1.0,1.0,6.0
vuelta-a-espana,2023-08-26,Soudal Quick-Step (WT),team/soudal-quick-step-2023,EVENEPOEL Remco,rider/remco-evenepoel,2.0,1.0,3732.71,2075.0,511.0,1712.5,1060.0,62.0,48.0,4.0,2.0,3732.71,2075.0,1060.0,511.0,1712.5,62.0,48.0,16.828313807543246,21.919864011508487,5.844190879608189,16.158954283145807,2.0,1.0,6.0
vuelta-a-espana,2023-08-26,Jumbo-Visma (WT),team/team-jumbo-visma-2023,ROGLIČ Primož,rider/primoz-roglic,8.0,3.0,3248.36,1690.0,225.0,2327.5,1050.0,25.0,0.0,8.0,3.0,3248.36,1690.0,1050.0,225.0,2327.5,25.0,0.0,18.612105348678625,14.297434474842646,3.2828931376711017,14.251861644326326,3.0,2.0,3.0
vuelta-a-espana,2023-08-26,UAE Team Emirates (WT),team/uae-team-emirates-2023,ALMEIDA João,rider/joao-almeida,12.0,4.0,2653.62,1249.0,280.0,2081.5,1060.0,40.75,0.0,12.0,4.0,2653.62,1249.0,1060.0,280.0,2081.5,40.75,0.0,17.22794491501603,12.634047075763876,3.0132035540793307,13.006827291053044,4.0,2.0,3.0
vuelta-a-espana,2023-08-26,Bahrain - Victorious (WT),team/bahrain-victorious-2023,LANDA Mikel,rider/mikel-landa,16.0,6.0,1435.62,947.0,167.0,1488.0,811.0,0.0,0.0,16.0,6.0,1435.62,947.0,811.0,167.0,1488.0,0.0,0.0,12.010629999691615,7.971769369352306,1.2188414126440699,8.640614093180313,5.0,2.0,3.0
vuelta-a-espana,2023-08-26,INEOS Grenadiers (WT),team/ineos-grenadiers-2023,GANNA Filippo,rider/filippo-ganna,19.0,7.0,2206.0,1193.0,400.0,479.0,415.0,100.25,95.0,19.0,7.0,2206.0,1193.0,415.0,400.0,479.0,100.25,95.0,5.87438051269803,14.153264587978121,6.5361795510441905,8.49040554295129,6.0,2.0,3.0
vuelta-a-espana,2023-08-26,Bahrain - Victorious (WT),team/bahrain-victorious-2023,CARUSO Damiano,rider/damiano-caruso,61.0,15.0,1378.33,643.0,34.0,1295.75,522.0,0.0,0.0,61.0,15.0,1378.33,643.0,522.0,34.0,1295.75,0.0,0.0,8.865651154383745,3.8037057669593213,0.9974216793014264,5.7734216431399545,7.0,2.0,3.0
vuelta-a-espana,2023-08-26,Movistar Team (WT),team/movistar-team-2023,MAS Enric,rider/enric-mas,14.0,5.0,620.25,464.0,32.0,1430.5,622.0,9.0,0.0,14.0,5.0,620.25,464.0,622.0,32.0,1430.5,9.0,0.0,9.651677142198906,2.4150488773494008,0.6705199629168948,5.684457226887652,8.0,2.0,3.0
vuelta-a-espana,2023-08-26,Bora - Hansgrohe (WT),team/bora-hansgrohe-2023,VLASOV Aleksandr,rider/aleksandr-vlasov,83.0,24.0,795.55,496.0,259.0,1395.0,260.0,20.75,0.0,83.0,24.0,795.55,496.0,260.0,259.0,1395.0,20.75,0.0,6.598671160062954,6.6237172725845666,0.7120939766289549,5.428869557132638,9.0,2.0,3.0
vuelta-a-espana,2023-08-26,Movistar Team (WT),team/movistar-team-2023,RUBIO Einer,rider/einer-rubio,41.0,10.0,976.39,747.0,120.0,741.25,588.0,0.0,0.0,41.0,10.0,976.39,747.0,588.0,120.0,741.25,0.0,0.0,7.025885195246942,5.638438329252922,0.7303834560491312,5.350550787609174,10.0,2.0,3.0
