"event_id","event_date","team_name","team_id","rider_name","rider_id","pcs_rank","event_rank","uci_points","pcs_points_season","pcs_points_last_60d","pcs_gc_points","pcs_gc_points_season","pcs_sprint_points","pcs_sprint_points_season","pcs_rank_w","event_rank_w","uci_points_w","pcs_points_season_w","pcs_gc_points_season_w","pcs_points_last_60d_w","pcs_gc_points_w","pcs_sprint_points_w","pcs_sprint_points_season_w","gc_score","classic_score","sprinter_score","combined_score","rank","tier","fav_points"
"vuelta-a-espana","2024-08-17","UAE Team Emirates (WT)","team/uae-team-emirates-2024","ALMEIDA João","rider/joao-almeida",10,2,2046.57,1055,486,1906,790,7.5,0,10.64,2.75,1911.715,1055,790,457.5,1886.5,7.5,0,14.4553863986404,14.8217142164029,2.13585481538368,12.1013784273178,1,1,6
"vuelta-a-espana","2024-08-17","UAE Team Emirates (WT)","team/uae-team-emirates-2024","YATES Adam","rider/adam-yates",16,6,1858,1088,364,2083.75,836,54,0,16,6,1858,1074.5,836,364,1886.5,54,0,14.7255359703146,13.3030729115229,3.19305458592516,11.9923007757992,2,2,3
"vuelta-a-espana","2024-08-17","INEOS Grenadiers (WT)","team/ineos-grenadiers-2024","RODRÍGUEZ Carlos","rider/carlos-rodriguez-cano",20,8,1961.86,1070,343,1588,867,2.25,0,20,8,1911.715,1070,843.75,343,1588,2.25,0,13.6467849122712,12.961615546282,1.93708476092384,11.099294072205,3,1,6
"vuelta-a-espana","2024-08-17","Team Visma | Lease a Bike (WT)","team/team-visma-lease-a-bike-2024","VAN AERT Wout","rider/wout-van-aert",7,1,1895,1020,549,365,230,849.5,259,10.64,2.75,1895,1020,230,457.5,365,346.6875,229.5,3.97422787352055,14.5943490010386,20.1499347964165,10.3954055963552,4,1,6
"vuelta-a-espana","2024-08-17","Soudal Quick-Step (WT)","team/soudal-quick-step-2024","LANDA Mikel","rider/mikel-landa",27,11,1497,796,433,1582.25,756,0,0,27,11,1497,796,756,433,1582.25,0,0,12.4355485576992,12.3156300467673,1.39635599487784,10.1917344918554,5,2,3
"vuelta-a-espana","2024-08-17","Red Bull - BORA - hansgrohe (WT)","team/red-bull-bora-hansgrohe-2024","VLASOV Aleksandr","rider/aleksandr-vlasov",15,5,1698,985,8,1542.5,940,17,0,15,5,1698,985,843.75,8,1542.5,17,0,13.2783800217647,6.75771706466552,2.11394970721176,9.08929507172434,6,2,3
"vuelta-a-espana","2024-08-17","UAE Team Emirates (WT)","team/uae-team-emirates-2024","MCNULTY Brandon","rider/brandon-mcnulty",12,4,1865.57,1135,244,1050.75,577,34,34,12,4,1865.57,1074.5,577,244,1050.75,34,34,9.40284091201444,11.365904515484,4.15282634805308,8.94175708026302,7,2,3
"vuelta-a-espana","2024-08-17","Red Bull - BORA - hansgrohe (WT)","team/red-bull-bora-hansgrohe-2024","ROGLIČ Primož","rider/primoz-roglic",11,3,1212,690,140,1880,710,25,0,11,3,1212,690,710,140,1880,25,0,13.0378843711012,6.6688270204345,1.8206419791909,8.88371868751915,8,2,3
"vuelta-a-espana","2024-08-17","Decathlon AG2R La Mondiale Team (WT)","team/decathlon-ag2r-la-mondiale-2024","O'CONNOR Ben","rider/ben-o-connor",25,10,1791,959,53,1413.75,685,18,18,25,10,1791,959,685,53,1413.75,18,18,11.5320602749438,7.37396015920045,2.92407895073336,8.5630339753787,9,2,3
"vuelta-a-espana","2024-08-17","Movistar Team (WT)","team/movistar-team-2024","MAS Enric","rider/enric-mas",34,12,934,633,199,1376.5,685,9,0,34,12,934,633,685,199,1376.5,9,0,10.435045836064,6.87094165933374,0.996614085183058,7.47812823286872,10,2,3
"vuelta-a-espana","2024-08-17","Groupama - FDJ (WT)","team/groupama-fdj-2024","KÜNG Stefan","rider/stefan-kung",47,15,1337,600,221,446.5,120,411.75,246,47,15,1337,600,120,221,446.5,346.6875,229.5,2.63075050733771,7.41263874198317,19.3689544814477,7.41295777255335,11,2,3
"vuelta-a-espana","2024-08-17","Lidl - Trek (WT)","team/lidl-trek-2024","SKJELMOSE Mattias","rider/mattias-skjelmose-jensen",19,7,1571,861,71,1280.75,570,10,0,19,7,1571,861,570,71,1280.75,10,0,9.89285970011858,6.8883549263799,1.77753355921589,7.36844303981644,12,2,3
"vuelta-a-espana","2024-08-17","EF Education - EasyPost (WT)","team/ef-education-easypost-2024","CARAPAZ Richard","rider/richard-carapaz",23,9,1324,792,448,659.5,314,9.5,2,23,9,1324,792,314,448,659.5,9.5,2,5.11067438962076,12.3802265039044,1.55822799080665,6.58105074414304,13,2,3
"vuelta-a-espana","2024-08-17","Team Visma | Lease a Bike (WT)","team/team-visma-lease-a-bike-2024","KUSS Sepp","rider/sepp-kuss",40,14,394,341,185,1160.5,655,9.75,0,40,14,394,341,655,185,1160.5,9.75,0,8.73971289581991,4.28593654922383,0.408288937483409,5.73729520017378,14,3,1
"vuelta-a-espana","2024-08-17","Red Bull - BORA - hansgrohe (WT)","team/red-bull-bora-hansgrohe-2024","MARTÍNEZ Daniel Felipe","rider/daniel-felipe-martinez",65,20,1825,740,20,858.25,400,0,0,65,20,1825,740,400,20,858.25,0,0,6.93262271715526,5.38747368124501,1.59048147046218,5.40064975704357,15,3,1
"vuelta-a-espana","2024-08-17","INEOS Grenadiers (WT)","team/ineos-grenadiers-2024","NARVÁEZ Jhonatan","rider/jhonatan-narvaez",36,13,1590,754,95,420,260,140.25,38,36,13,1590,754,260,95,420,140.25,38,3.95915624052226,6.57329523892681,6.53617363665839,5.25880141927085,0,0,0
"vuelta-a-espana","2024-08-17","UAE Team Emirates (WT)","team/uae-team-emirates-2024","DEL TORO Isaac","rider/isaac-del-toro",55,18,1187,767,5,596.75,575,3,3,55,18,1187,767,575,5,596.75,3,3,6.66626362830512,4.6587832656733,1.14673268749731,4.96011333135401,0,0,0
"vuelta-a-espana","2024-08-17","Bahrain - Victorious (WT)","team/bahrain-victorious-2024","TIBERI Antonio","rider/antonio-tiberi",59,19,1306,636,12,650.75,468,2.25,0,59,19,1306,636,468,12,650.75,2.25,0,6.1300249809994,4.09975003753839,1.11272610225769,4.51748272221275,0,0,0
"vuelta-a-espana","2024-08-17","Lotto Dstny (PRT)","team/lotto-dstny-2024","VAN EETVELT Lennert","rider/lennert-van-eetvelt",66,21,922,610,158,473,306,53.5,50,66,21,922,610,306,158,473,53.5,50,3.6907845236273,5.90123728311153,4.03605300250715,4.42297404724854,0,0,0
"vuelta-a-espana","2024-08-17","Cofidis (WT)","team/cofidis-2024","MARTIN Guillaume","rider/guillaume-martin",72,23,680,503,196,905,322,0,0,72,23,680,503,322,196,905,0,0,5.22581184752681,5.5964358144332,0.325863623851334,4.35700939286363,0,0,0
"vuelta-a-espana","2024-08-17","INEOS Grenadiers (WT)","team/ineos-grenadiers-2024","ARENSMAN Thymen","rider/thymen-arensman",103,27,1063,510,11,968.75,386,0,0,103,27,1063,510,386,11,968.75,0,0,6.30382185440326,2.91257756652261,0.640308692418776,4.15374593564217,0,0,0
"vuelta-a-espana","2024-08-17","Lidl - Trek (WT)","team/lidl-trek-2024","CICCONE Giulio","rider/giulio-ciccone",110,30,698,460,282,715.5,289,2,0,110,30,698,460,289,282,715.5,2,0,4.10012929457844,6.6350563402233,0.258326594099541,4.09224686817612,0,0,0
"vuelta-a-espana","2024-08-17","Alpecin - Deceuninck (WT)","team/alpecin-deceuninck-2024","GROVES Kaden","rider/kaden-groves",48,16,801,317,0,110,45,317.75,224,48,16,801,317,45,0,110,317.75,224,0.124541296236362,1.50276932651731,17.8355232353159,4.08020609313655,0,0,0
"vuelta-a-espana","2024-08-17","Movistar Team (WT)","team/movistar-team-2024","RUBIO Einer","rider/einer-rubio",92,25,711,401,7,899,459,18,18,92,25,711,401,459,7,899,18,18,6.27901121202615,1.85771958205801,1.50407005858773,3.99763549234802,0,0,0
"vuelta-a-espana","2024-08-17","Decathlon AG2R La Mondiale Team (WT)","team/decathlon-ag2r-la-mondiale-2024","GALL Felix","rider/felix-gall",109,29,699.14,493,206,765,313,0,0,109,29,699.14,493,313,206,765,0,0,4.49973431322011,5.59647273118008,0.221426849773954,3.97309434591887,0,0,0
"vuelta-a-espana","2024-08-17","Cofidis (WT)","team/cofidis-2024","COQUARD Bryan","rider/bryan-coquard",98,26,665.71,380,119,143.25,45,325,146,98,26,665.71,380,45,119,143.25,325,146,-0.076766383203259,3.50368939289615,14.4214220033194,3.8970080269311,0,0,0
"vuelta-a-espana","2024-08-17","Israel - Premier Tech (PRT)","team/israel-premier-tech-2024","STRONG Corbin","rider/corbin-strong",50,17,900,553,179,197.75,115,118.5,56,50,17,900,553,115,179,197.75,118.5,56,1.12275476953289,5.94944209085667,5.94729282774723,3.53566857757289,0,0,0
