"event_id","event_date","team_name","team_id","rider_name","rider_id","pcs_rank","event_rank","uci_points","pcs_points_season","pcs_gc_points_season","pcs_points_last_60d","pcs_gc_points","pcs_sprint_points","pcs_sprint_points_season","pcs_rank_t","event_rank_t","uci_points_t","pcs_points_season_t","pcs_gc_points_season_t","pcs_points_last_60d_t","pcs_gc_points_t","combined_score","gc_weight","rank","diff_next","tier","is_tier1","keep_in_tier1"
"giro-d-italia","2024-05-04","UAE Team Emirates (WT)","team/uae-team-emirates-2024","POGAČAR Tadej","rider/tadej-pogacar",1,1,10785,1165,1150,940,3802.5,NA,NA,-1.79175946922805,-1.09861228866811,8.33700615491211,7.06133436691044,6.87187462251009,6.17050906672668,7.96308311198354,10.4330064990791,1,1,1.25403778882036,"Tier 1",FALSE,FALSE
"giro-d-italia","2023-05-06","Soudal Quick-Step (WT)","team/soudal-quick-step-2023","EVENEPOEL Remco","rider/remco-evenepoel",2,1,5477.71,1129,790,733,3210,NA,NA,-1.79175946922805,-1.09861228866811,8.33700615491211,7.02997291170639,6.67329796776765,6.17050906672668,7.96308311198354,9.26533073382251,0.971102986353686,1,0.0296441900292308,"Tier 1",FALSE,FALSE
"giro-d-italia","2023-05-06","Jumbo-Visma (WT)","team/team-jumbo-visma-2023","ROGLIČ Primož","rider/primoz-roglic",7,3,5505.36,857,1290,857,3920,NA,NA,-2.07944154167984,-1.38629436111989,8.33700615491211,6.75460409948796,6.87187462251009,6.17050906672668,7.96308311198354,9.23568654379328,1,2,0.422112033029968,"Tier 1",FALSE,FALSE
"giro-d-italia","2024-05-04","Decathlon AG2R La Mondiale Team (WT)","team/decathlon-ag2r-la-mondiale-2024","O'CONNOR Ben","rider/ben-o-connor",20,3,3871,603,930,270,2441.25,NA,NA,-3.04452243772342,-1.38629436111989,8.26152644839647,6.40357419793482,6.83625927727707,5.6021188208797,7.80067502453305,9.17896871025872,0.994817230058832,2,1.86818559290656,"Tier 2",FALSE,FALSE
"giro-d-italia","2023-05-06","UAE Team Emirates (WT)","team/uae-team-emirates-2023","ALMEIDA João","rider/joao-almeida",28,5,3110.62,542,1000,444,4144,NA,NA,-3.36729582998647,-1.79175946922805,8.04289876987334,6.29710931993394,6.87187462251009,6.09807428216624,7.96308311198354,8.81357451076331,1,3,1.31677062199301,"Tier 2",FALSE,FALSE
"vuelta-a-espana","2025-08-23","Team Visma | Lease a Bike (WT)","team/team-visma-lease-a-bike-2025","VINGEGAARD Jonas","rider/jonas-vingegaard",10,3,3228.57,1508,720,935,2337.5,10,0,-2.39789527279837,-1.38629436111989,8.08010428041954,7.06722680237865,6.58063913728495,6.17050906672668,7.75726497716594,8.75619862401158,0.957619208553203,1,1.13037069647482,"Tier 1",FALSE,FALSE
"vuelta-a-espana","2023-08-26","Jumbo-Visma (WT)","team/team-jumbo-visma-2023","VINGEGAARD Jonas","rider/jonas-vingegaard",4,2,5869.07,2114,1550,908,4412.5,NA,NA,-1.79175946922805,-1.09861228866811,8.33700615491211,7.06722680237865,6.87187462251009,6.17050906672668,7.96308311198354,8.71021738960867,1,1,0.205531835114012,"Tier 1",FALSE,FALSE
"vuelta-a-espana","2023-08-26","Soudal Quick-Step (WT)","team/soudal-quick-step-2023","EVENEPOEL Remco","rider/remco-evenepoel",2,1,5477.71,2075,790,511,2882.5,NA,NA,-1.79175946922805,-1.09861228866811,8.33700615491211,7.06722680237865,6.67329796776765,6.17050906672668,7.96308311198354,8.50468555449465,0.971102986353686,2,0.105658954332881,"Tier 1",FALSE,FALSE
"giro-d-italia","2025-05-09","Red Bull - BORA - hansgrohe (WT)","team/red-bull-bora-hansgrohe-2025","ROGLIČ Primož","rider/primoz-roglic",5,1,1543,431,950,381,1970,0,0,-1.79175946922805,-1.09861228866811,7.34213173058472,6.06842558824411,6.85751406254539,5.94542060860658,7.58629630715272,8.48902398434814,1,1,0.163018045212864,"Tier 1",FALSE,FALSE
"vuelta-a-espana","2023-08-26","UAE Team Emirates (WT)","team/uae-team-emirates-2023","ALMEIDA João","rider/joao-almeida",12,4,3110.62,1249,1000,280,3951.5,NA,NA,-2.56494935746154,-1.6094379124341,8.04289876987334,7.06722680237865,6.87187462251009,5.63835466933375,7.96308311198354,8.39902660016177,1,3,0.127375580124045,"Tier 1",FALSE,FALSE
